"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","IDN.PCPI.A","OBS_VALUE","Indonesia","All Items, Consumer price index (CPI), Period average","Annual","Units","87.253","90.124","92.668","94.550","96.026","100.000","103.713","106.098","108.128","111.357","114.227","117.103","120.051","123.073","126.171"
"IMF.RES:WEO(9.0.0)","IDN.PCPIPCH.A","OBS_VALUE","Indonesia","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","3.807","3.291","2.822","2.031","1.561","4.139","3.713","2.300","1.913","2.987","2.578","2.517","2.517","2.517","2.517"
"IMF.RES:WEO(9.0.0)","IDN.PPPSH.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","2.291","2.314","2.323","2.299","2.248","2.283","2.323","2.361","2.400","2.446","2.491","2.538","2.589","2.643","2.700"
"IMF.RES:WEO(9.0.0)","IDN.NGDPRPPPPC.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","12042.442","12531.011","13024.376","12599.952","12947.903","13484.700","14014.242","14567.537","15159.050","15756.594","16402.260","17096.771","17829.727","18607.557","19427.560"
"IMF.RES:WEO(9.0.0)","IDN.TXG_RPCH.A","OBS_VALUE","Indonesia","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","11.110","5.652","-8.997","-2.303","23.767","-3.886","2.839","0.306","7.020","-1.589","9.506","8.460","7.546","7.654","7.848"
"IMF.RES:WEO(9.0.0)","IDN.NGDPRPC.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Annual","Units","37928905.648","39467704.239","41021608.254","39684840.320","40780747.996","42471445.751","44139292.324","45881953.298","47744982.945","49627007.474","51660600.872","53848032.944","56156552.375","58606410.264","61189091.781"
"IMF.RES:WEO(9.0.0)","IDN.PCPIEPCH.A","OBS_VALUE","Indonesia","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","3.605","3.163","2.585","1.676","1.879","5.411","2.806","1.569","2.921","2.665","2.517","2.517","2.517","2.517","2.517"
"IMF.RES:WEO(9.0.0)","IDN.GGX_NGDP.A","OBS_VALUE","Indonesia","Expenditure, General government, Percent of GDP","Annual","Units","16.444","16.611","16.359","18.427","18.124","17.258","16.637","16.866","16.195","16.781","16.708","16.769","16.881","16.966","17.063"
"IMF.RES:WEO(9.0.0)","IDN.PPPPC.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","10932.638","11621.366","12236.943","11929.526","12947.903","14443.788","15566.405","16582.681","17745.531","18973.452","20184.649","21384.652","22697.977","24123.465","25641.236"
"IMF.RES:WEO(9.0.0)","IDN.LP.A","OBS_VALUE","Indonesia","Population, Persons for countries / Index for country groups","Annual","Millions","261.356","264.162","266.912","270.204","272.679","275.720","278.696","281.604","284.439","287.198","289.880","292.481","294.998","297.431","299.780"
"IMF.RES:WEO(9.0.0)","IDN.GGXWDG_NGDP.A","OBS_VALUE","Indonesia","Gross debt, General government, Percent of GDP","Annual","Units","29.396","30.423","30.563","39.747","41.140","40.141","39.601","40.165","41.021","41.480","41.788","42.002","42.142","42.196","42.217"
"IMF.RES:WEO(9.0.0)","IDN.NGDP_D.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Price deflator, Index","Annual","Units","137.092","142.327","144.602","144.021","152.668","167.277","169.836","171.347","175.406","180.646","185.302","189.967","194.749","199.651","204.677"
